shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
88177,46.47023,30.75173,749,
88177,46.4703,30.75174,751,
88177,46.47028,30.75204,753,
88177,46.47028,30.75221,755,
88177,46.47026,30.75238,757,
88177,46.47026,30.75258,759,
88177,46.47024,30.75277,761,
88177,46.47024,30.75311,763,
88177,46.47022,30.75316,765,
88177,46.47022,30.75329,767,
88177,46.47041,30.75333,769,
88177,46.47075,30.75341,771,
88177,46.47092,30.75346,773,
88177,46.47116,30.7535,775,
88177,46.47152,30.75356,777,
88177,46.47174,30.75363,779,
88177,46.47178,30.75363,781,
88177,46.47185,30.75365,783,
88177,46.47215,30.75372,785,
88177,46.47223,30.75374,787,
88177,46.47234,30.75378,789,
88177,46.47245,30.75384,791,
88177,46.47249,30.75391,793,
88177,46.47253,30.75393,795,
88177,46.47262,30.75402,797,
88177,46.47266,30.75406,799,
88177,46.47273,30.75412,801,
88177,46.4728,30.754,803,
88177,46.47277,30.75383,805,
88177,46.47301727923973,30.75406908988953,807,
88178,46.47301727923973,30.75406908988953,1,
88178,46.47292,30.75407,6,
88178,46.47293,30.75391,8,
88178,46.47292,30.75391,10,
88178,46.47279,30.75387,12,
88178,46.4727,30.75384,14,
88178,46.47251,30.7538,16,
88178,46.47247,30.7538,18,
88178,46.47234,30.75378,20,
88178,46.47223,30.75374,22,
88178,46.47215,30.75372,24,
88178,46.47185,30.75365,26,
88178,46.47178,30.75361,28,
88178,46.4717,30.75352,30,
88178,46.47167,30.75348,32,
88178,46.47165,30.75339,34,
88178,46.47165,30.75333,36,
88178,46.47167,30.75314,38,
88178,46.4717,30.75284,40,
88178,46.47171,30.75256,42,
88178,46.47183,30.75257,44,
88178,46.471831,30.752569,46,
88178,46.47183,30.75257,51,
88178,46.47171,30.75256,53,
88178,46.47172,30.75243,55,
88178,46.47174,30.75217,57,
88178,46.47176,30.75187,59,
88178,46.4718,30.75127,61,
88178,46.4718,30.75114,63,
88178,46.47195,30.74912,65,
88178,46.47208,30.74711,67,
