stop_id,stop_name,stop_lat,stop_lon,stop_desc
702430,вул. Кіри Муратової,46.480992,30.727296,
702426,вул. Грецька,46.482022,30.740477,
702438,Залізничний вокзал,46.467193,30.741443,
702462,вул. Хімічна,46.48274390676969,30.673356056213382,
702427,вул. Рішельєвська,46.48061993406714,30.74034690856934,
702442,вул. Довженка,46.453571,30.752995,
702431,вул. Торгова,46.484073,30.72344,
702468,Автовокзал,46.475939513739995,30.707935094833378,
702434,вул. Кіри Муратової,46.480996,30.72706,
702521,пров. Газовий,46.495705,30.727555,
702538,вул. Балківська,46.48346,30.708813,15
702550,вул. Яши Гордієнка,46.49089549817439,30.702522397041324,12-
702551,вул. Вітрогонова,46.489806,30.698977,12-
702471,вул. Велика Арнаутська,46.471698,30.741313,
702484,"завод ""ББК""",46.48326103539736,30.66913962364197,
702493,вул. Велика Арнаутська,46.472588,30.747268,
702496,вул. Віталія Боровика,46.482087,30.747585,
702508,вул. Інглезі,46.42455404146655,30.70562839508057,
702435,вул. Преображенська,46.477803,30.731111,
702439,"Стадіон ""СКА""",46.464263,30.747677,
702514,вул. Ніни Строкатої,46.480976,30.744841,
702440,Політехнічний інститут,46.46046577262125,30.749922394752506,
702441,пр. Лесі Українки,46.456415,30.750975,
702530,4-а станція Великого Фонтану,46.44412637484434,30.74229955673218,
702448,вул. Суднобудівна,46.43642250224896,30.741006731987003,
702449,вул. Віталія Гуляєва,46.43694746481026,30.73586225509644,
702533,вул. Всеволода Змієнка,46.483942,30.725614,15
702455,Одеський ліцей №63,46.41232793453475,30.719999670982364,
702536,вул. Майстрова,46.481181,30.7167,15
702542,Дитяча лікарня,46.487124,30.696477,12
702456,Дитяча поліклініка,46.410491,30.720106,
702457,вул. Левітана,46.405884,30.721392,
702545,вул. Яши Гордієнка,46.493217,30.700569,12
702555,вул. Скісна,46.481042,30.711496,15-
702461,"завод ""Кисеньмаш""",46.479352898692994,30.67338287830353,
702463,вул. Грушевського,46.48830647533179,30.677100419998172,
702190,вул. Тираспольська,46.476952,30.727075,
702464,вул. Нафтовиків,46.48556219818422,30.681204199790958,
702197,вул. Новосельського,46.489536,30.719829,
702465,вул. Одеська,46.48175026725327,30.686488151550297,
702466,вул. Саймона Літмана,46.47965580779269,30.690758228302006,
702353,"Магазин ""Океан""",46.398708,30.720285,
702467,вул. Паркова,46.47687045814412,30.696187019348148,
702470,вул. М'ясоїдівська,46.47409974343904,30.719559788703922,
702358,Авіазавод,46.409523,30.712082,
703534,Хаджибейський лиман,46.541267,30.671557,20
702473,вул. М'ясоїдівська,46.47430662834378,30.718132853508,
702474,вул. Скісна,46.474927278339045,30.711019635200504,
702365,вул. Варненська,46.432606,30.724455,
702476,вул. Паркова,46.476984977982596,30.696288943290714,
702478,вул. Одеська,46.48265525565426,30.685511827468876,
702479,вул. Нафтовиків,46.486271365167724,30.680480003356937,
702480,вул. Хімічна,46.487294469994225,30.675968527793888,
702481,вул. Промислова,46.48250011585463,30.67238509654999,
702366,вул. Космонавтів,46.43532819783446,30.72038054466248,
703523,"завод ""Стальметиз""",46.501413,30.70642,20
702485,"завод ""Кисеньмаш""",46.48014710799065,30.673270225524906,
703537,Гастроном,46.531105,30.678766,20-
703561,сквер Жака-Луї Десме,46.510816,30.723984,
703567,Агаровий завод,46.534179,30.735297,1
703572,Лузанівка,46.553319709593964,30.762223005294803,1
703577,Торговельний центр,46.577313,30.782554,1
703583,Міський холодильник,46.604107,30.814211,1
702369,Будинок Меблів,46.44256,30.705234,
702371,вул. Ольги Благовидової,46.448223,30.691524,
702492,бул. Італійський,46.468308,30.746617,
702498,вул. Святослава Караванського,46.478771,30.748026,
702499,вул. Успенська,46.474491,30.747369,
703521,Хлібозавод №1,46.497472,30.715983,20
703559,вул. Миколи Плигуна,46.504602,30.724688,1
702500,вул. Велика Арнаутська,46.471297,30.746903,
702503,вул. Академіка Філатова,46.434651640531456,30.720471739768985,
703562,"завод ""Сільхозмаш""",46.51758,30.725954,1
702504,на вимогу,46.43327262067667,30.718481540679935,
703563,"завод ""Червоної Гвардії""",46.521484,30.727447,1
703568,вул. Лиманна,46.538487,30.740533,
703525,"завод ""Біостимулятор""",46.506312,30.70053,20
702505,вул. Героїв Крут,46.431675,30.71608,
703528,пров. Хаджибейський,46.518369,30.692248,20
702506,вул. Євгена Танцюри,46.42899115171706,30.712183713912967,
702507,10-й квартал,46.42665062107007,30.708745121955875,
702510,5-а станція Великого Фонтану,46.43886981975254,30.745443105697635,
703532,вул. Каменярів,46.53413,30.677713,
702512,вул. Незалежності,46.449168,30.743414,
702513,2-а станція Великого Фонтану,46.45366968122839,30.744144916534427,
