trip_id,trip_headsign,route_id,service_id,shape_id,direction_id
1657183,,89403,1,89403,0
1657184,,89403,1,89403,0
1657185,,89403,1,89403,0
1657186,,89403,1,89403,0
1657187,,89403,1,89403,0
1657188,,89403,1,89403,0
1657189,,89403,1,89403,0
1657190,,89403,1,89403,0
1657191,,89403,1,89403,0
1657192,,89403,1,89403,0
1657193,,89403,1,89403,0
1657194,,89403,1,89403,0
1657195,,89403,1,89403,0
1657196,,89403,1,89403,0
1657197,,89403,1,89403,0
1657198,,89403,1,89403,0
1657199,,89403,1,89403,0
1657200,,89403,1,89403,0
1657201,,89403,1,89403,0
1657136,,89403,1,89403,0
1657168,,89403,1,89403,0
1657167,,89403,1,89403,0
1657166,,89403,1,89403,0
1657165,,89403,1,89403,0
1657164,,89403,1,89403,0
1657163,,89403,1,89403,0
1657162,,89403,1,89403,0
1657161,,89403,1,89403,0
1657160,,89403,1,89403,0
1657159,,89403,1,89403,0
1657158,,89403,1,89403,0
1657157,,89403,1,89403,0
1657156,,89403,1,89403,0
1657155,,89403,1,89403,0
1657154,,89403,1,89403,0
1657153,,89403,1,89403,0
1657152,,89403,1,89403,0
1657151,,89403,1,89403,0
1657150,,89403,1,89403,0
1657149,,89403,1,89403,0
1657148,,89403,1,89403,0
1657147,,89403,1,89403,0
1657146,,89403,1,89403,0
1657145,,89403,1,89403,0
1657144,,89403,1,89403,0
1657143,,89403,1,89403,0
1657142,,89403,1,89403,0
1657141,,89403,1,89403,0
1657169,,89403,1,89403,0
1657214,,89404,1,89404,1
1657213,,89404,1,89404,1
1657212,,89404,1,89404,1
1657211,,89404,1,89404,1
1657210,,89404,1,89404,1
1657209,,89404,1,89404,1
1657208,,89404,1,89404,1
1657207,,89404,1,89404,1
1657206,,89404,1,89404,1
1657205,,89404,1,89404,1
1657204,,89404,1,89404,1
1657269,,89404,1,89404,1
1657268,,89404,1,89404,1
1657267,,89404,1,89404,1
1657266,,89404,1,89404,1
1657265,,89404,1,89404,1
1657264,,89404,1,89404,1
1657263,,89404,1,89404,1
1657262,,89404,1,89404,1
1657261,,89404,1,89404,1
1657260,,89404,1,89404,1
1657259,,89404,1,89404,1
1657258,,89404,1,89404,1
1657257,,89404,1,89404,1
1657256,,89404,1,89404,1
1657255,,89404,1,89404,1
1657254,,89404,1,89404,1
1657253,,89404,1,89404,1
1657252,,89404,1,89404,1
1657251,,89404,1,89404,1
1657250,,89404,1,89404,1
1657249,,89404,1,89404,1
1657248,,89404,1,89404,1
1657247,,89404,1,89404,1
1657246,,89404,1,89404,1
1657245,,89404,1,89404,1
1657244,,89404,1,89404,1
1657243,,89404,1,89404,1
1657242,,89404,1,89404,1
1657241,,89404,1,89404,1
1657240,,89404,1,89404,1
1657239,,89404,1,89404,1
